# Zini      MH   logAge Mini         int_IMF      Mass  logL  logTe  logg   label g_min_i   McoreTP C_O   period0 period1 pmode Mloss     tau1m X      Y      Xc       Xn       Xo       Cexcess Z        mbolmag umag  gmag   rmag   imag   zmag  
  1.5547E-4 -2.0 9.6    1.1095252037 2.4932658672 1.078 3.222 3.6547 0.82   3     1.4389999 0.0     0.413 0.0     0.0     -1    -6.9E-9   0.0   0.7361 0.2637 2.21E-5  1.521E-5 7.13E-5  -1.0    1.636E-4 -3.284  0.359 -2.058 -3.128 -3.497 -3.694
  1.5547E-4 -2.0 9.75   0.9998389482 2.472881794  0.957 3.235 3.6505 0.738  3     1.5120001 0.0     0.452 0.0     0.0     -1    -9.4E-9   0.0   0.7409 0.2589 2.402E-5 1.268E-5 7.095E-5 -1.0    1.636E-4 -3.317  0.522 -2.011 -3.136 -3.523 -3.731
  1.5547E-4 -2.0 9.9    0.90244627   2.4499292374 0.853 3.25  3.6462 0.655  3     1.5869999 0.0     0.492 0.0     0.0     -1    -1.13E-8  0.0   0.746  0.2539 2.593E-5 1.01E-5  7.043E-5 -1.0    1.637E-4 -3.356  0.686 -1.967 -3.148 -3.554 -3.773
  1.5547E-4 -2.0 10.05  0.8158723116 2.4241514206 0.758 3.261 3.6425 0.579  3     1.6559999 0.0     0.525 0.0     0.0     -1    -1.35E-8  0.0   0.752  0.2478 2.74E-5  8.073E-6 6.966E-5 -1.0    1.636E-4 -3.383  0.842 -1.918 -3.151 -3.574 -3.802
  1.5547E-4 -2.0 10.2   0.738548398  2.3951601982 0.718 3.273 3.6371 0.521  3     1.743     0.0     0.537 0.0     0.0     -1    -1.79E-24 0.0   0.7588 0.2411 2.763E-5 7.566E-6 6.86E-5  -1.0    1.637E-4 -3.413  1.037 -1.846 -3.142 -3.589 -3.829
  2.4632E-4 -1.8 9.6    1.1124083996 2.4937396049 1.079 3.244 3.6459 0.763  3     1.5209999 0.0     0.412 0.0     0.0     -1    -7.73E-9  0.0   0.7352 0.2646 3.613E-5 2.507E-5 1.169E-4 -1.0    2.682E-4 -3.34   0.561 -2.01  -3.143 -3.531 -3.744
  2.4632E-4 -1.8 9.75   1.002741456  2.4734876156 0.958 3.254 3.6414 0.683  3     1.594     0.0     0.448 0.0     0.0     -1    -1.04E-8  0.0   0.7395 0.2602 3.904E-5 2.124E-5 1.164E-4 -1.0    2.682E-4 -3.365  0.737 -1.953 -3.141 -3.547 -3.77 
  2.4632E-4 -1.8 9.9    0.9053184986 2.4506876469 0.853 3.268 3.6369 0.6    3     1.673     0.0     0.486 0.0     0.0     -1    -1.26E-8  0.0   0.7445 0.2553 4.205E-5 1.716E-5 1.156E-4 -1.0    2.682E-4 -3.4    0.917 -1.897 -3.143 -3.57  -3.804
  2.4632E-4 -1.8 10.05  0.8186179399 2.4250657558 0.758 3.278 3.6329 0.524  3     1.7449999 0.0     0.521 0.0     0.0     -1    -1.49E-8  0.0   0.7505 0.2492 4.462E-5 1.361E-5 1.144E-4 -1.0    2.682E-4 -3.424  1.088 -1.838 -3.137 -3.583 -3.827
  2.4632E-4 -1.8 10.2   0.7410277128 2.3961982727 0.737 3.288 3.628  0.481  3     1.817     0.0     0.536 0.0     0.0     -1    -1.0E-30  0.0   0.7573 0.2425 4.529E-5 1.245E-5 1.127E-4 -1.0    2.494E-4 -3.451  1.256 -1.774 -3.125 -3.591 -3.848
  3.9019E-4 -1.6 9.6    1.1169983149 2.4944882393 1.082 3.267 3.6343 0.695  3     1.6240001 0.0     0.411 0.0     0.0     -1    -8.75E-9  0.0   0.7342 0.2654 5.629E-5 3.935E-5 1.826E-4 -1.0    4.188E-4 -3.397  0.84  -1.928 -3.138 -3.552 -3.784
  3.9019E-4 -1.6 9.75   1.007188797  2.4744081497 0.96  3.274 3.6296 0.617  3     1.6980001 0.0     0.444 0.0     0.0     -1    -1.17E-8  0.0   0.738  0.2616 6.049E-5 3.382E-5 1.819E-4 -1.0    4.188E-4 -3.415  1.035 -1.857 -3.121 -3.555 -3.799
  3.9019E-4 -1.6 9.9    0.9096549749 2.4518225193 0.854 3.286 3.6248 0.535  3     1.7749999 0.0     0.481 0.0     0.0     -1    -1.41E-8  0.0   0.7429 0.2567 6.509E-5 2.759E-5 1.807E-4 -1.0    4.188E-4 -3.444  1.229 -1.792 -3.112 -3.567 -3.823
